id,puzzle,difficulty
1,..149....642.31........8........67...54...9..9....5..8...6....5.......2...5.24.81,4.5
2,..6...7.9..8..9.6.15...2........8...37.....5....431..........1.28...7.4....5..8.6,1.2
3,625..1..8.7..8...68........2....4....4..1.3........1.......7.32.....6.9..84.3....,0
4,...8.9.....4...7..8...5...2.6.....24.......5.91..8...36...3......1..4..6..81.5...,0
5,.....64..7.4...5.....8..69.6...91..5..3..4...5.7..31...3.6...7....4.......1....8.,0
6,5..8.......647.........9.126..1.78..........6.9.3.52.7.2....4.58........4.9.8....,2.1
7,...2...5.4...81.....6.....96....82...97.3..1..54..7.....1..35.....79......2...7..,1.7
8,3......9.4...9.216..7.4......9.51..2.8....3.......9.5..4.....2..1.8....3....164..,1
9,..7.5.39..1.64.........1.....1.36...7....85..8.4...9.3...9...7.6.3.8.....48...2..,0
10,......2.6...7....8.5......36.1.5.32.....37.....2......9...7......36..4915..81....,0
11,7....1..3...4...2.....62........419.3..9.87..58.........534......7...6...1...6...,0
12,..4.2..1..2.1....8......9.......32...67...5....94.5.6.4.....7..6.12...3....97....,0
13,.5.1...2...2.5.78...14........83.9.5.47.9.........2......3.9...96........85.....4,1.8
14,7.1..4.52.........6452.9.....6..23.5......79..1........8..439..5..8...4.....7....,0
15,...1....7.2.3...5.....6.32.4...2........58..39.1.........2.4....68.3.2........58.,0
16,...1....78.9.4......6..84.5.8......49...........37.8.....5..3.2.176....9.5...3.7.,1.4
17,....6.9.......34..31..7.....526..........5.4...9....72....4...384...9.1.93...6...,2.2
18,...1.76..178...5.9.9....4...6.31...7..3.5.........2.......3.....15...2...8.....64,0
19,........8..61..42....59.7.396..........34..7..24.......4.6.....5....1..4.127..3..,0
20,..8.9.....6....3.2.7.1....88..4.3..7....1..692.....1...2.7....1..9.....3....4.5..,2.8
21,....7.8.......6..996..5..12.9...7...3.2..46....432..5.1.3.6..8.......3.1.2.......,3.3
22,815.9...6...5...92......8.1..6.5....5.367.4..2....3...32......4.4....1...........,2.2
23,31...2..992...4.7..8.....45...3.6...1......3...8.7.4.1.....9....9......8...48..2.,1.6
24,........75...48.1..9....4.........9....5....6971..68..75.6.......84.....13...59..,1.3
25,..72..6.5...4.3...29.........3..8..15..69..8.6........8..3......7481.5......2...4,0
26,........74.6.....3...9..5..5.4.2.....2......6.9.85..2.....63..8..2.75.4...3......,0
27,..8....5.49...53....2.........536........1.7....72.4.52.9.6......52.3..8.1.....3.,5.3
28,......51..1..4..3.8...2....1.....97.7.3..2..649.......2.9..5......4..6.......8753,0
29,48...3..1....18...3.....7....7.8...68....93.......5....1.46.2............96....13,1.4
30,8.3....5.....25..11....7.86.28....3.7....4..2.1..6...5...........9...7.....1.6.48,0
31,9..5..2....5.3..7.4...8...9..1...32.....73...6.........4.6.2.....7...4.1...3..5..,0
32,..834..............976.8.326...7..1....56........9.3...862....32....478....9.....,2.3
33,5.37...........6.........2...8.....9....4.5....168....4..81.2..2...6..7..1.4.795.,2.5
34,...1...352...5..6...8..2...71..6.....9...1...36.....245.......9.79.........58....,0
35,.9..1...8.......5.47.2.8.9...1...2....9..7..4..5..39...5..42...2.....6.38........,1.4
36,9.....13.43...5.....6....72.9...2.482..9.7...8...3.......6.82..6.......1.4..9....,3.4
37,6.2..9.....8...7...9..3.......2....4.3.4.1..51.....6....6.....827...3.1.....2....,1.1
38,....91...4.15...8..3..7..5..58......2..1......6....9..8...6....3..9..24......816.,0
39,.....6..338.............954.....3.761...8..9..931......2.7........9.8..5..5.2...7,0
40,.....95..9....7...5..4.289.1....597...4.....16..1....2...8.4....3.......4.5.7.6..,2.7
41,.......5..12...84.76..9.............2..75...3..48.2.7.1.....5..6..9.5...43.27....,0
42,.......2.5..47..13.....5..6..2..6.3.69........1..3..8....32.7....96.7.....1.5...8,3.7
43,...1...8.....3..4.3...9.72...7.2.1...9..5..3..16........2.....4.5.7..6...8.3...1.,0
44,....4.3....1....6...5..97...438....28....4.....7..1.......6..481.........9..7...5,1
45,.98...61...6..1.844.......5.45......1.9...3...7......2..45...6.2..7.4.9.....9...3,0
46,.5..8.2472...6..8....7....9...2.56..1.53.......9...1...42.....6.1....92....1....8,2.2
47,9..6...1...85.4.9.4..81.62.5.4.76...63...5..2..2........67.135.........4.....2...,1.5
48,......35....2.5..1.47..6....75.............193.2.6...5.5....8..6.4....7.7..8...3.,0
